Date,Time,Crypto,Open,High,Low,Close,Volume,ChangeV,ChangeP
5/12/21,23:00:00,Bitcoin,52938.97000000,52950.55000000,48600.00000000,49631.32000000,13998.37552200,9,-6.25
5/12/21,22:00:00,Bitcoin,54533.16000000,54746.82000000,51563.19000000,52942.79000000,12842.47011700,578.7,-2.91
5/12/21,21:00:00,Bitcoin,54420.14000000,54751.92000000,54300.00000000,54533.16000000,1891.94071300,-26.8,0.207
5/12/21,20:00:00,Bitcoin,54437.00000000,54660.17000000,53983.05000000,54420.14000000,2585.94518200,-43.5,-0.02
5/12/21,19:00:00,Bitcoin,54082.52000000,54526.30000000,53500.00000000,54432.39000000,4578.14334400,-27.7,0.646
5/12/21,18:00:00,Bitcoin,54863.94000000,55144.98000000,53576.30000000,54082.52000000,6339.65122400,111.1,-1.42
5/12/21,17:00:00,Bitcoin,55013.01000000,55329.30000000,54687.05000000,54865.13000000,3002.00731400,-53.4,-0.26
5/12/21,16:00:00,Bitcoin,55479.13000000,55677.31000000,54392.74000000,55013.01000000,6443.65717600,9.931,-0.84
5/12/21,15:00:00,Bitcoin,56073.04000000,56126.29000000,55232.56000000,55479.13000000,5861.52974800,60.97,-1.05
5/12/21,14:00:00,Bitcoin,56760.10000000,56900.00000000,56000.00000000,56073.03000000,3641.37238100,-8.88,-1.21
5/12/21,13:00:00,Bitcoin,56316.76000000,56850.00000000,55700.00000000,56760.11000000,3996.55093400,46.73,0.787
5/12/21,12:00:00,Bitcoin,56421.45000000,56615.45000000,56164.00000000,56316.76000000,2723.56278800,0.042,-0.18
5/12/21,11:00:00,Bitcoin,56026.83000000,56517.22000000,55967.13000000,56421.46000000,2722.41529000,-30.2,0.704
5/12/21,10:00:00,Bitcoin,56855.42000000,56861.01000000,55950.45000000,56026.83000000,3903.57009600,80.46,-1.45
5/12/21,9:00:00,Bitcoin,56912.77000000,57195.50000000,56730.00000000,56855.43000000,2163.09666700,-35,-0.1
5/12/21,8:00:00,Bitcoin,57101.08000000,57180.00000000,56580.00000000,56912.77000000,3332.81199400,74,-0.32
5/12/21,7:00:00,Bitcoin,57011.67000000,57250.00000000,56882.00000000,57101.07000000,1915.34372500,-23.9,0.16
5/12/21,6:00:00,Bitcoin,57227.98000000,57366.92000000,56900.00000000,57009.55000000,2517.10441400,29.16,-0.38
5/12/21,5:00:00,Bitcoin,57355.29000000,57504.65000000,57160.01000000,57227.98000000,1948.73803100,-27.8,-0.22
5/12/21,4:00:00,Bitcoin,57756.95000000,58000.01000000,57284.82000000,57355.30000000,2702.27361400,-18.3,-0.69
5/12/21,3:00:00,Bitcoin,57170.20000000,57872.18000000,56937.78000000,57756.94000000,3310.80444800,48.08,1.021
5/12/21,2:00:00,Bitcoin,57033.35000000,57337.81000000,56932.83000000,57172.94000000,2235.72799600,10.74,0.244
5/12/21,1:00:00,Bitcoin,57344.48000000,57360.00000000,56924.37000000,57033.35000000,2018.79006500,-36.2,-0.55
5/20/21,23:00:00,Binance,396.67,399.1,386.72,391.17,185977.1207,4.714,-1.24
5/20/21,22:00:00,Binance,398.48,399.1,381.17,396.1,177603.5137,76.1,-0.59
5/20/21,21:00:00,Binance,385.34,399,381.94,398.49,100851.4317,-47,3.412
5/20/21,20:00:00,Binance,390.1,396.75,382.31,385.34,190456.7405,25.6,-1.22
5/20/21,19:00:00,Binance,386.31,394.19,381.56,390.1,151630.8617,-8.19,0.983
5/20/21,18:00:00,Binance,386.66,391,378.55,386.3,165175.0537,-34.4,-0.1
5/20/21,17:00:00,Binance,379.53,390.49,370,386.69,252074.6465,-60.4,1.865
5/20/21,16:00:00,Binance,401.29,401.54,364.43,379.61,636651.1079,205.8,-5.4
5/20/21,15:00:00,Binance,403.32,414.54,397.08,401.29,208165.1187,-37.2,-0.49
5/20/21,14:00:00,Binance,401.89,414.68,401.33,403.29,331829.4059,-50.8,0.348
5/20/21,13:00:00,Binance,392.71,423.83,392.41,401.89,675411.8161,68.97,2.337
5/20/21,12:00:00,Binance,373.84,397.2,366.28,392.71,399704.7564,100.3,5.05
